
> tax4us-app@0.1.0 dev
> next dev -p 3001

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.5.233:3001
- Environments: .env.local, .env
 GET /api/pipeline/logs 200 in 54ms (compile: 11ms, render: 44ms)
 GET /api/pipeline/logs 200 in 72ms (compile: 45ms, render: 27ms)
 GET /api/pipeline/logs 200 in 44ms (compile: 22ms, render: 22ms)
 GET /api/pipeline/logs 200 in 40ms (compile: 17ms, render: 23ms)
 GET /api/pipeline/logs 200 in 32ms (compile: 20ms, render: 12ms)
 GET /api/pipeline/logs 200 in 60ms (compile: 22ms, render: 38ms)
 GET /api/pipeline/logs 200 in 43ms (compile: 21ms, render: 22ms)
 GET /api/pipeline/logs 200 in 34ms (compile: 20ms, render: 14ms)
 GET /api/pipeline/logs 200 in 54ms (compile: 38ms, render: 16ms)
 GET /api/pipeline/logs 200 in 44ms (compile: 22ms, render: 22ms)
 GET /api/pipeline/logs 200 in 71ms (compile: 32ms, render: 39ms)
 GET /api/pipeline/logs 200 in 45ms (compile: 27ms, render: 18ms)
 GET /api/pipeline/logs 200 in 18ms (compile: 7ms, render: 11ms)
 GET /api/pipeline/logs 200 in 7ms (compile: 3ms, render: 4ms)
 GET / 200 in 3.0s (compile: 15ms, render: 3.0s)
 GET /api/pipeline/logs 200 in 20ms (compile: 3ms, render: 17ms)
 GET /api/pipeline/logs 200 in 16ms (compile: 8ms, render: 8ms)
 GET /api/pipeline/logs 200 in 34ms (compile: 7ms, render: 27ms)
 GET /api/pipeline/logs 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/pipeline/logs 200 in 10ms (compile: 4ms, render: 6ms)
 GET /api/pipeline/logs 200 in 9ms (compile: 4ms, render: 5ms)
 GET /api/pipeline/logs 200 in 9ms (compile: 4ms, render: 5ms)
 GET /api/pipeline/logs 200 in 6ms (compile: 1991µs, render: 4ms)
 GET /api/pipeline/logs 200 in 3ms (compile: 1203µs, render: 1723µs)
 GET /api/pipeline/logs 200 in 13ms (compile: 9ms, render: 4ms)
 GET /api/pipeline/logs 200 in 170ms (compile: 19ms, render: 151ms)
 GET /api/pipeline/logs 200 in 46ms (compile: 27ms, render: 19ms)
 GET /api/pipeline/logs 200 in 13ms (compile: 3ms, render: 10ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 6ms, render: 5ms)
 GET /api/pipeline/logs 200 in 13ms (compile: 6ms, render: 7ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 6ms, render: 5ms)
 GET /api/pipeline/logs 200 in 9ms (compile: 4ms, render: 5ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 3ms, render: 7ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 7ms, render: 4ms)
 GET /api/pipeline/logs 200 in 5ms (compile: 2ms, render: 3ms)
 GET /api/pipeline/logs 200 in 13ms (compile: 4ms, render: 9ms)
 GET /api/pipeline/logs 200 in 38ms (compile: 21ms, render: 17ms)
 GET /api/pipeline/logs 200 in 5ms (compile: 2ms, render: 2ms)
 GET /api/pipeline/logs 200 in 10ms (compile: 3ms, render: 7ms)
 GET /api/pipeline/logs 200 in 12ms (compile: 6ms, render: 6ms)
 GET /api/pipeline/logs 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/pipeline/logs 200 in 7ms (compile: 4ms, render: 4ms)
 GET /api/pipeline/logs 200 in 5ms (compile: 1735µs, render: 3ms)
 GET /api/pipeline/logs 200 in 5ms (compile: 1723µs, render: 4ms)
 GET /api/pipeline/logs 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/pipeline/logs 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/pipeline/logs 200 in 6ms (compile: 2ms, render: 4ms)
 GET /api/pipeline/logs 200 in 5ms (compile: 2ms, render: 3ms)
 GET /api/pipeline/logs 200 in 10ms (compile: 5ms, render: 5ms)
 GET /api/pipeline/logs 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/pipeline/logs 200 in 5ms (compile: 2ms, render: 2ms)
 GET /api/pipeline/logs 200 in 27ms (compile: 13ms, render: 14ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 1873µs, render: 9ms)
 GET /api/pipeline/logs 200 in 6ms (compile: 4ms, render: 1923µs)
 GET /api/pipeline/logs 200 in 15ms (compile: 10ms, render: 5ms)
 GET /api/pipeline/logs 200 in 26ms (compile: 18ms, render: 9ms)
 GET /api/pipeline/logs 200 in 4ms (compile: 1289µs, render: 3ms)
 GET /api/pipeline/logs 200 in 9ms (compile: 5ms, render: 4ms)
 GET /api/pipeline/logs 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/pipeline/logs 200 in 31ms (compile: 16ms, render: 15ms)
 GET /api/pipeline/logs 200 in 51ms (compile: 29ms, render: 22ms)
 GET /api/pipeline/logs 200 in 33ms (compile: 18ms, render: 15ms)
 GET /api/pipeline/logs 200 in 32ms (compile: 14ms, render: 18ms)
 GET /api/pipeline/logs 200 in 38ms (compile: 18ms, render: 20ms)
 GET /api/pipeline/logs 200 in 50ms (compile: 42ms, render: 7ms)
 GET /api/pipeline/logs 200 in 60ms (compile: 26ms, render: 34ms)
 GET /api/pipeline/logs 200 in 20ms (compile: 9ms, render: 10ms)
 GET /api/pipeline/logs 200 in 36ms (compile: 16ms, render: 20ms)
 GET /api/pipeline/logs 200 in 11ms (compile: 5ms, render: 7ms)
 GET /api/pipeline/logs 200 in 58ms (compile: 24ms, render: 34ms)
 GET /api/pipeline/logs 200 in 40ms (compile: 22ms, render: 18ms)
 GET /api/pipeline/logs 200 in 40ms (compile: 16ms, render: 24ms)
 GET /api/pipeline/logs 200 in 82ms (compile: 32ms, render: 49ms)
 GET /api/pipeline/logs 200 in 46ms (compile: 18ms, render: 28ms)
 GET /api/pipeline/logs 200 in 111ms (compile: 57ms, render: 54ms)
 GET /api/pipeline/logs 200 in 82ms (compile: 49ms, render: 33ms)
 GET /api/pipeline/logs 200 in 149ms (compile: 21ms, render: 128ms)
 GET /api/pipeline/logs 200 in 49ms (compile: 23ms, render: 26ms)
 GET /api/pipeline/logs 200 in 95ms (compile: 35ms, render: 59ms)
 GET /api/pipeline/logs 200 in 23ms (compile: 8ms, render: 15ms)
 GET /api/pipeline/logs 200 in 43ms (compile: 25ms, render: 18ms)
 GET /api/pipeline/logs 200 in 32ms (compile: 16ms, render: 16ms)
 GET /api/pipeline/logs 200 in 40ms (compile: 21ms, render: 19ms)
 GET /api/pipeline/logs 200 in 32ms (compile: 18ms, render: 15ms)
 GET /api/pipeline/logs 200 in 30ms (compile: 16ms, render: 13ms)
 GET /api/pipeline/logs 200 in 29ms (compile: 14ms, render: 15ms)
 GET /api/pipeline/logs 200 in 38ms (compile: 24ms, render: 14ms)
 GET /api/pipeline/logs 200 in 53ms (compile: 26ms, render: 26ms)
 GET /api/pipeline/logs 200 in 74ms (compile: 33ms, render: 41ms)
 GET /api/pipeline/logs 200 in 46ms (compile: 19ms, render: 26ms)
 GET /api/pipeline/logs 200 in 46ms (compile: 15ms, render: 31ms)
 GET /api/pipeline/logs 200 in 74ms (compile: 27ms, render: 48ms)
 GET /api/pipeline/logs 200 in 29ms (compile: 13ms, render: 16ms)
 GET /api/pipeline/logs 200 in 47ms (compile: 13ms, render: 34ms)
 GET /api/pipeline/logs 200 in 56ms (compile: 17ms, render: 39ms)
 GET /api/pipeline/logs 200 in 52ms (compile: 35ms, render: 17ms)
 GET /api/pipeline/logs 200 in 58ms (compile: 34ms, render: 24ms)
 GET /api/pipeline/logs 200 in 48ms (compile: 28ms, render: 20ms)
 GET /api/pipeline/logs 200 in 38ms (compile: 17ms, render: 21ms)
 GET /api/pipeline/logs 200 in 40ms (compile: 10ms, render: 31ms)
 GET /api/pipeline/logs 200 in 52ms (compile: 21ms, render: 31ms)
 GET /api/pipeline/logs 200 in 35ms (compile: 11ms, render: 24ms)
 GET /api/pipeline/logs 200 in 147ms (compile: 115ms, render: 32ms)
 GET /api/pipeline/logs 200 in 29ms (compile: 15ms, render: 14ms)
 GET /api/pipeline/logs 200 in 38ms (compile: 23ms, render: 15ms)
 GET /api/pipeline/logs 200 in 25ms (compile: 9ms, render: 16ms)
 GET /api/pipeline/logs 200 in 47ms (compile: 37ms, render: 10ms)
 GET /api/pipeline/logs 200 in 40ms (compile: 26ms, render: 15ms)
 GET /api/pipeline/logs 200 in 70ms (compile: 27ms, render: 42ms)
 GET /api/pipeline/logs 200 in 90ms (compile: 53ms, render: 37ms)
 GET /api/pipeline/logs 200 in 54ms (compile: 20ms, render: 34ms)
 GET /api/pipeline/logs 200 in 17ms (compile: 7ms, render: 11ms)
 GET /api/pipeline/logs 200 in 35ms (compile: 17ms, render: 18ms)
 GET /api/pipeline/logs 200 in 37ms (compile: 16ms, render: 21ms)
 GET /api/pipeline/logs 200 in 37ms (compile: 21ms, render: 16ms)
 GET /api/pipeline/logs 200 in 36ms (compile: 17ms, render: 19ms)
 GET /api/pipeline/logs 200 in 45ms (compile: 24ms, render: 21ms)
 GET /api/pipeline/logs 200 in 25ms (compile: 6ms, render: 19ms)
 GET /api/pipeline/logs 200 in 46ms (compile: 16ms, render: 30ms)
 GET /api/pipeline/logs 200 in 47ms (compile: 19ms, render: 28ms)
 GET /api/pipeline/logs 200 in 48ms (compile: 27ms, render: 21ms)
 GET /api/pipeline/logs 200 in 75ms (compile: 28ms, render: 48ms)
 GET /api/pipeline/logs 200 in 24ms (compile: 13ms, render: 10ms)
 GET /api/pipeline/logs 200 in 48ms (compile: 27ms, render: 21ms)
 GET /api/pipeline/logs 200 in 25ms (compile: 15ms, render: 10ms)
